Nest,Surv,Year13,Xcoord,Ycoord,Elev,Bare,Herb,Litter,Sage,Shrub,ShrubHt,Herb.Bin,Herb.Bin.Mean.1,Herb.Bin.Mean.2,Herb.Bin.Mean.3,Herb.Bin.SD.1,Herb.Bin.SD.2,Herb.Bin.SD.3,Herb.Mean.1,Herb.Mean.2,Herb.Mean.3,Herb.SD.1,Herb.SD.2,Herb.SD.3,Sage.Bin,Sage.Bin.Mean.1,Sage.Bin.Mean.2,Sage.Bin.Mean.3,Sage.Bin.SD.1,Sage.Bin.SD.2,Sage.Bin.SD.3,Sage.Mean.1,Sage.Mean.2,Sage.Mean.3,Sage.SD.1,Sage.SD.2,Sage.SD.3,ShrubHt.Bin,ShrubHt.Bin.Mean.1,ShrubHt.Bin.Mean.2,ShrubHt.Bin.Mean.3,ShrubHt.Bin.SD.1,ShrubHt.Bin.SD.2,ShrubHt.Bin.SD.3,ShrubHt.Mean.1,ShrubHt.Mean.2,ShrubHt.Mean.3,ShrubHt.SD.1,ShrubHt.SD.2,ShrubHt.SD.3,CTI,HLI,TRI,CTI.Mean.1,CTI.Mean.2,CTI.Mean.3,CTI.SD.1,CTI.SD.2,CTI.SD.3,TRI.Mean.1,TRI.Mean.2,TRI.Mean.3,TRI.SD.1,TRI.SD.2,TRI.SD.3
1,0,0,NotShared,NotShared,2065.098633,43,14,22,21,21,21,0,0.794223827,0.868349865,0.892850679,0.404999365,0.33826255,0.309330992,16.93140794,18.35617674,18.72090498,7.581847302,6.499813257,5.176809319,1,0.837545126,0.893597836,0.917647059,0.369535209,0.308490772,0.274926562,16.8700361,17.84670875,18.45900452,7.119915246,5.90080002,4.586247358,0,0.353790614,0.286744815,0.21158371,0.479010604,0.45244537,0.408468166,25.51624549,26.26420198,25.75728507,12.59128651,10.85129169,8.752567838,5.729970795,0.765059241,0.758024037,8.700546481,8.67256808,8.920600822,1.657337267,1.658932436,1.799746099,0.198704985,0.172079931,0.194651775,0.23366658,0.253970001,0.461781711
1,0,0,NotShared,NotShared,2100.956787,0,0,0,0,0,0,0,0.783393502,0.766456267,0.680542986,0.412677762,0.423276046,0.466308467,17.09747292,17.03246168,16.52271493,7.050122887,6.686158947,6.080029859,0,0.714801444,0.738503156,0.6360181,0.45232617,0.439648197,0.481187058,15.29602888,16.19657349,15.48561086,8.767059071,7.720007002,6.783345587,0,0.220216606,0.221821461,0.202895928,0.415142664,0.415659105,0.402192053,20.83393502,22.59513075,23.13484163,12.8796493,11.43752508,9.59615901,8.003585995,0.759027721,0.514491558,8.032290132,8.054770318,7.697027148,1.577161794,1.827267755,1.866674462,0.428579343,2.043377812,3.210803205,0.60517584,7.153093933,6.983100937
1,1,0,NotShared,NotShared,2104.233887,37,20,27,21,22,23,1,0.895306859,0.848512173,0.735746606,0.30671175,0.358685482,0.440974754,20.17689531,18.84039675,17.26642534,4.10475693,5.336911706,5.553274046,1,0.935018051,0.870153291,0.701538462,0.246940151,0.336286358,0.457624467,21.11191336,19.06672678,16.66624434,2.711710171,5.852508967,6.384190208,0,0.371841155,0.354373309,0.252850679,0.484171042,0.478538775,0.434685418,28.53429603,26.503156,24.43131222,7.973444191,10.10474202,9.560595865,8.03299416,0.752192429,0.188640624,8.185888167,8.141409562,7.822950521,1.952378785,1.807353498,1.828162523,0.471661101,0.624879078,2.921866509,0.578221503,0.869681578,6.342085833
1,0,0,NotShared,NotShared,2069.938232,44,18,21,22,26,53,1,0.909747292,0.866546438,0.816108597,0.287062094,0.340217695,0.387430668,19.18411552,19.16862038,18.21067873,3.409072565,3.891751435,4.46607556,1,0.974729242,0.949504058,0.914027149,0.157230385,0.219064773,0.280349327,18.55595668,18.46979261,18.03511312,1.84192585,2.111135606,3.471180303,1,0.19133574,0.186654644,0.205248869,0.394064687,0.389809831,0.403919918,24.93501805,25.72497746,25.65791855,6.662361923,7.756976488,7.54613455,7.752729555,0.739055073,0.013175497,8.561836677,8.807649481,8.839058023,1.489645965,1.854440635,1.802191572,0.263574908,0.303392132,0.269911855,0.401498751,0.82998928,0.632631063
1,1,0,NotShared,NotShared,2064.218994,56,17,13,9,9,31,1,0.429602888,0.285843102,0.282895928,0.495915404,0.452018874,0.450447051,15.22743682,13.63570784,13.75131222,3.873297419,4.014507308,3.974308856,0,0.252707581,0.286744815,0.33918552,0.435351221,0.45244537,0.473475742,11.67509025,12.52840397,13.23891403,4.667478497,4.356657555,3.989274031,1,0.101083032,0.081154193,0.061719457,0.30198423,0.273194967,0.240667092,24.07220217,22.92155095,21.82932127,5.169081702,5.203284069,5.271177245,7.758295214,0.759085488,0.464575261,8.052740779,8.100437645,8.263179339,1.785810548,1.753362071,1.730023484,0.690355086,0.557954842,0.36840981,1.323522863,1.009078902,0.684742102
1,0,0,NotShared,NotShared,1967.600586,40,13,25,21,21,36,0,0.108303249,0.151487827,0.097013575,0.311325489,0.358685482,0.29600304,12.94945848,13.08385933,11.92651584,2.315114498,6.165380307,5.200682387,1,0.458483755,0.15509468,0.051040724,0.499175273,0.362158236,0.220100742,14.63176895,10.18124436,8.327058824,5.579608459,5.226681917,4.27210791,1,0.364620939,0.158701533,0.04959276,0.482194881,0.365562385,0.217121742,27.64620939,23.00901713,21.10841629,8.196262961,7.931333797,6.829834807,14.61717052,0.740549876,0.001224749,10.90184269,10.0377983,9.392027644,2.108240805,2.1662292,1.932832282,0.047420468,0.162563196,0.233761019,0.09113328,0.291291463,0.356709304
1,1,0,NotShared,NotShared,2042.336914,46,12,28,15,17,29,0,0.151624549,0.128043282,0.107330317,0.359305736,0.334288746,0.30956076,11.27075812,10.75563571,10.38497738,3.668655492,3.782533638,3.737836976,0,0.064981949,0.034265104,0.018823529,0.246940151,0.181991406,0.135913751,9.375451264,8.406672678,8.247239819,3.438356254,3.01883238,2.849224344,0,0.02166065,0.012623986,0.017737557,0.14583637,0.111695435,0.132007915,20.11552347,18.54914337,18.36977376,4.972498005,4.692202196,4.757317475,7.613382792,0.705395776,1.869976878,7.869403653,7.94364266,8.044575004,1.639823954,1.641738602,1.748649381,0.663307936,0.616578615,0.627926133,0.796438644,0.750270106,0.773003845
1,1,0,NotShared,NotShared,2061.086182,47,16,22,18,18,25,1,0.581227437,0.495040577,0.467873303,0.494250944,0.500200973,0.499011969,16.60288809,15.88277728,15.79004525,2.829911205,2.366043066,2.721919117,1,0.992779783,0.979260595,0.936108597,0.084817784,0.142574933,0.244581517,18.70036101,18.34896303,17.86950226,1.752978794,1.68663019,2.256173088,0,0.101083032,0.076645627,0.06280543,0.30198423,0.266148356,0.242634629,25.14079422,24.16411181,23.02606335,6.158977489,5.011911052,4.907844562,9.273900156,0.746133003,0.031058189,8.926689944,8.97533919,9.069630037,1.431474022,1.599676782,1.660588345,0.108515597,0.182607578,0.190303435,0.266605995,0.524708829,0.624669219
1,1,0,NotShared,NotShared,2092.070557,34,17,26,19,19,39,1,0.55234657,0.597835888,0.534298643,0.498152292,0.490555942,0.498867364,14.55595668,15.24436429,15.04343891,5.292318289,5.180564317,5.366535732,1,0.797833935,0.716862038,0.491402715,0.402342328,0.450726129,0.49997133,16.36101083,15.8503156,13.72452489,5.863760886,5.293647203,5.638916559,1,0.220216606,0.298467087,0.271674208,0.415142664,0.45779194,0.444863071,24.93862816,26.0748422,24.96597285,9.1635614,9.040461999,9.15625484,8.370430627,0.731990499,0.098111041,8.065575218,8.061755508,7.664801234,1.649905843,1.873083013,1.969572372,2.619183988,2.622468778,3.668201143,7.133904307,6.307997967,6.277523331
1,0,0,NotShared,NotShared,2050.62085,54,16,15,18,18,18,1,0.866425993,0.882777277,0.866606335,0.340809787,0.321830625,0.340030472,18.42238267,18.62759243,19.11040724,2.871386341,3.053848207,3.719935033,1,0.989169675,0.981064022,0.940271493,0.1036911,0.136360455,0.237004597,19.04693141,19.09017133,19.2841629,1.749109392,1.88500229,2.76452992,0,0.137184116,0.101893598,0.212850679,0.344664317,0.302644815,0.409359985,24.6967509,24.58701533,26.15420814,6.151035931,5.739914481,7.247494694,11.32000323,0.745641789,0.025391081,9.846882093,9.617259391,9.001591582,2.012113922,1.890093755,1.975598516,0.056974829,0.073145822,0.23534829,0.06293617,0.105002999,0.550131855
